NAME,ID,Total_Amount,,
Ingrid,5.70E+16,5570,,
Florencia,5.57E+16,8395,,
Nerta,4.46E+16,2960,,
Margarette,5.79E+16,9533,,
Tersina,4.47E+16,9552,,
Janey,5.55E+16,4278,,
Thalia,5.24E+16,1560,,
Modestia,6.02E+16,3988,,
Petronia,6.41E+16,7550,,
Elsie,4.39E+16,4624,,
Bee,5.23E+16,7680,,
Elfreda,6.66E+16,5156,,
Kary,6.68E+16,9014,,
Norine,4.60E+16,9454,,
Elise,6.98E+16,2462,,
Keelia,4.87E+16,1990,,
Nonnah,5.75E+16,8668,,
Norine,6.25E+16,3010,,
Tressa,4.43E+16,3998,,
Hettie,5.59E+16,3316,,
Desirae,6.47E+16,1674,,
Queenie,6.23E+16,9801,,
Helena,4.35E+16,3509,,
Barbara,6.71E+16,8230,,
Emelina,4.48E+16,8357,,
Jackie,6.44E+16,4564,,
Fayre,4.57E+16,2178,,
Chickie,4.34E+16,9637,,
Lyssa,4.60E+16,6297,,
Luci,4.50E+16,2468,,
Blake,4.94E+16,6176,,
Emma,4.98E+16,5806,,
Sharai,4.83E+16,4315,,
Maurene,6.58E+16,4715,,
Rebeca,6.47E+16,2303,,
Dania,6.74E+16,8406,,
Collen,5.35E+16,1152,,
Calla,4.08E+16,3378,,
Joeann,4.31E+16,9315,,
Annabela,4.05E+16,4993,,
Chere,6.79E+16,6330,,
Dorice,4.52E+16,2544,,
Brena,6.47E+16,8786,,
Lilith,4.27E+16,1143,,
Mureil,4.19E+16,2031,,
Kittie,6.98E+16,3360,,
Dulce,6.24E+16,8136,,
Farrah,5.46E+16,6035,,
Nonnah,5.59E+16,5564,,
Willetta,4.95E+16,1466,,
Aubrie,5.42E+16,2902,,
Lonnie,5.72E+16,6859,,
Karlee,6.12E+16,2985,,
Codie,6.43E+16,3111,,
Merci,4.25E+16,8755,,
Andree,5.57E+16,6877,,
Winifred,5.89E+16,2147,,
Sarette,6.46E+16,8276,,
Elfreda,6.45E+16,6711,,
Genovera,4.30E+16,6898,,
Robbi,5.42E+16,5778,,
Robinia,4.97E+16,7814,,
Lelah,4.78E+16,6514,,
Rebeca,4.18E+16,4958,,
Beth,6.69E+16,1186,,
Veda,4.40E+16,4792,,
Gabi,4.62E+16,2327,,
Corry,6.97E+16,8622,,
Marline,6.28E+16,8597,,
Phedra,4.80E+16,1022,,
Stevana,6.52E+16,3075,,
Calla,4.36E+16,9991,,
Caressa,4.41E+16,2805,,
Alleen,4.25E+16,3973,,
Chrystel,5.78E+16,1739,,
Emylee,4.52E+16,6953,,
Barbi,5.68E+16,9851,,
Eve,6.46E+16,7856,,
Dulce,5.18E+16,5241,,
Ann-Marie,5.29E+16,2707,,
Nannie,5.29E+16,1164,,
Kirstin,5.04E+16,4731,,
Larine,6.23E+16,9842,,
Gwyneth,5.46E+16,3715,,
Annice,5.10E+16,7092,,
Tani,7.00E+16,6896,,
Diena,4.59E+16,5034,,
Annora,4.54E+16,9922,,
Bobbi,6.80E+16,4798,,
Odessa,4.87E+16,3737,,
Minne,4.49E+16,8145,,
Catrina,6.24E+16,6410,,
Desirae,4.18E+16,6604,,
Gabriellia,5.37E+16,9611,,
Glenda,5.05E+16,7509,,
Joleen,5.05E+16,5134,,
Cacilie,6.69E+16,2182,,
Veda,4.99E+16,8304,,
Allyce,6.21E+16,6815,,
Amalie,5.20E+16,6191,,
Elise,6.93E+16,7963,,
Agathe,5.48E+16,6875,,
Vere,5.11E+16,6510,,
Xylina,5.46E+16,7435,,
Jany,5.76E+16,5943,,
Janeczka,6.76E+16,8894,,
Kimberley,6.48E+16,2118,,
Belinda,6.18E+16,5851,,
Dagmar,4.24E+16,9297,,
Ofilia,4.85E+16,1558,,
Rosaline,4.68E+16,4181,,
Livvyy,6.47E+16,4902,,
Ira,4.94E+16,6187,,
Gisela,5.94E+16,5221,,
Desirae,5.09E+16,2067,,
Lanae,6.67E+16,7692,,
Chloris,6.41E+16,3157,,
Sheree,6.55E+16,2817,,
Carmela,5.81E+16,4031,,
Selma,4.05E+16,3963,,
Fayre,6.09E+16,8073,,
Kerrin,5.30E+16,2164,,
Tilly,5.54E+16,2670,,
Priscilla,5.85E+16,2514,,
Joane,5.29E+16,5561,,
Katharina,6.87E+16,9796,,
Jemie,5.62E+16,4371,,
Marti,4.10E+16,8983,,
Donetta,6.98E+16,1246,,
Lory,6.86E+16,8872,,
Mathilda,6.31E+16,3498,,
Rani,6.70E+16,6045,,
Meghann,4.17E+16,3301,,
Ezmeralda,5.46E+16,1768,,
Clementine,4.58E+16,9598,,
Jan,5.27E+16,7902,,
Elise,5.63E+16,8684,,
Dale,5.67E+16,5934,,
Roberta,4.34E+16,6399,,
Merry,4.89E+16,2068,,
Pearline,5.57E+16,1997,,
Tracey,5.84E+16,7502,,
Livvyy,6.71E+16,6531,,
Kimmy,4.51E+16,2551,,
Jolyn,4.01E+16,4647,,
Benita,4.54E+16,5873,,
Sidoney,4.23E+16,5322,,
Gianina,4.95E+16,1879,,
Deedee,6.39E+16,3096,,
Dagmar,5.63E+16,4471,,
Almeta,4.97E+16,9392,,
Asia,4.18E+16,1544,,
Bernardine,6.76E+16,1211,,
Jany,5.39E+16,3358,,
Shandie,5.46E+16,4627,,
Silvana,4.44E+16,8918,,
Ricky,5.60E+16,2981,,
Di,6.93E+16,6870,,
Nariko,4.80E+16,5242,,
Mureil,6.70E+16,2424,,
Nicoli,5.77E+16,7214,,
Elfreda,4.72E+16,2473,,
Linzy,5.60E+16,8509,,
Christy,5.49E+16,9683,,
Sidoney,4.09E+16,6613,,
Nickie,5.32E+16,8925,,
Silvana,5.82E+16,8641,,
Benita,4.61E+16,3884,,
Julieta,5.40E+16,7127,,
Dagmar,6.60E+16,2251,,
Elie,6.94E+16,2985,,
Philis,5.07E+16,1231,,
Britte,5.90E+16,8910,,
Raf,4.18E+16,5772,,
Sibella,6.61E+16,9679,,
Therine,4.98E+16,4345,,
Amelia,6.14E+16,1085,,
Atlanta,4.29E+16,8271,,
Jobi,4.68E+16,6550,,
Adele,4.11E+16,6744,,
Sue,4.14E+16,8442,,
Teriann,5.94E+16,8360,,
Janeczka,4.56E+16,5914,,
Lucille,4.99E+16,8448,,
Sashenka,6.28E+16,7092,,
Marylou,6.36E+16,3317,,
Angela,5.05E+16,3778,,
Arabel,5.30E+16,9668,,
Tamqrah,5.01E+16,6859,,
Teddie,4.83E+16,6675,,
Sean,4.98E+16,7784,,
Rosabelle,6.08E+16,6251,,
Kore,5.55E+16,4539,,
Ellette,6.45E+16,4454,,
Daryl,4.48E+16,4397,,
Donnie,4.54E+16,6392,,
Shaine,5.55E+16,8365,,
Candi,6.97E+16,2760,,
Shaylyn,4.90E+16,3335,,
Annabela,4.55E+16,9199,,
Demetris,4.65E+16,4570,,
Loree,4.33E+16,7016,,
Dacia,5.09E+16,1904,,
Sissy,4.71E+16,6895,,
Asia,5.82E+16,1521,,
Valera,6.11E+16,4492,,
Dacia,5.18E+16,7021,,
Courtnay,4.61E+16,7363,,
Elora,6.53E+16,2331,,
Daune,6.55E+16,7957,,
Binny,6.30E+16,5757,,
Vere,4.54E+16,6221,,
Tomasina,5.79E+16,9730,,
Dione,5.68E+16,1945,,
Heida,6.62E+16,4917,,
Bobinette,4.80E+16,9404,,
Fanny,5.29E+16,5535,,
Kristina,4.55E+16,4651,,
Gilligan,6.07E+16,8467,,
Mildrid,4.24E+16,7247,,
Teddie,4.04E+16,5102,,
Cristine,5.30E+16,8949,,
Millie,5.03E+16,1108,,
Kittie,6.39E+16,4084,,
Ricky,5.53E+16,9958,,
Mary,5.35E+16,3837,,
Sybille,6.85E+16,8124,,
Bee,6.60E+16,1819,,
Rozele,4.37E+16,6040,,
Wendi,6.69E+16,6014,,
Brana,4.96E+16,3698,,
Brandise,5.36E+16,2876,,
Elena,5.70E+16,6328,,
Gwyneth,5.64E+16,1945,,
Henriette,6.57E+16,4235,,
Cassandra,5.86E+16,4968,,
Jenda,6.08E+16,8448,,
Carolina,4.06E+16,3919,,
Maye,6.20E+16,8456,,
Teriann,4.27E+16,6568,,
Starla,6.63E+16,7337,,
Rochette,6.94E+16,7008,,
Gabi,4.73E+16,5608,,
Marsiella,4.97E+16,9158,,
Latisha,5.05E+16,8960,,
Rubie,4.59E+16,7893,,
Viviene,5.51E+16,7883,,
Darci,5.14E+16,5933,,
Tressa,4.23E+16,2934,,
Jsandye,5.87E+16,3264,,
Beatriz,5.33E+16,9087,,
Gretal,5.05E+16,8774,,
Harmonia,5.87E+16,4826,,
Olivette,5.16E+16,3846,,
Julieta,5.31E+16,7857,,
Marti,6.18E+16,9087,,
Dennie,6.12E+16,4909,,
Odessa,4.56E+16,1009,,
Violet,5.43E+16,5739,,
Taffy,6.00E+16,8485,,
Clementine,4.09E+16,5881,,
Meghann,4.90E+16,6715,,
Elka,5.32E+16,9490,,
Brietta,4.38E+16,2198,,
Gavrielle,4.75E+16,2921,,
Philis,6.94E+16,6029,,
Trudie,5.19E+16,4476,,
Inga,5.87E+16,4441,,
Blake,6.85E+16,1112,,
Bernie,5.93E+16,9666,,
Catrina,5.86E+16,2685,,
Lizzie,5.28E+16,1776,,
Jacenta,4.86E+16,6873,,
Edee,5.13E+16,8450,,
Oralee,6.23E+16,8920,,
Nikki,4.37E+16,4048,,
Ekaterina,4.68E+16,3086,,
Clo,5.92E+16,4498,,
Cecile,4.64E+16,3101,,
Tera,5.86E+16,1501,,
Lelah,4.57E+16,4556,,
Zia,5.62E+16,4606,,
Joleen,4.01E+16,5182,,
Melodie,6.17E+16,4987,,
Cherrita,6.66E+16,5991,,
Dulcinea,6.54E+16,3712,,
Kaia,6.09E+16,8946,,
Reeba,5.05E+16,2638,,
Wileen,5.93E+16,7104,,
Beatriz,6.04E+16,2781,,
Yetty,6.79E+16,6715,,
Bertine,4.89E+16,7117,,
Rani,5.78E+16,2861,,
Wilma,6.12E+16,8933,,
Mignon,5.31E+16,7518,,
Beth,4.17E+16,2301,,
Vevay,5.25E+16,4625,,
Celene,5.12E+16,3569,,
Cecile,5.59E+16,4363,,
Jennica,4.20E+16,9311,,
Pierette,5.04E+16,6491,,
Talya,4.46E+16,2040,,
Krystle,6.73E+16,1319,,
Concettina,4.57E+16,3421,,
Annecorinne,5.31E+16,8429,,
Letizia,6.46E+16,3365,,
Jinny,4.08E+16,5229,,
Dorthy,6.94E+16,2552,,
Gusella,4.35E+16,3460,,
Romona,4.39E+16,7694,,
Gui,6.62E+16,9884,,
Juliane,4.75E+16,2433,,
Mireielle,5.34E+16,6669,,
Elyssa,6.91E+16,5485,,
Annora,6.35E+16,3495,,
Myriam,6.53E+16,8088,,
Theodora,4.10E+16,2137,,
Lorne,4.87E+16,9897,,
Coral,4.77E+16,2536,,
Lauryn,4.88E+16,7407,,
Cristabel,4.55E+16,7124,,
Janey,5.77E+16,1349,,
Nollie,5.41E+16,8808,,
Helena,5.22E+16,7732,,
Veda,4.95E+16,9791,,
Lynde,6.46E+16,1969,,
Katuscha,6.86E+16,4750,,
Winny,5.37E+16,9577,,
Delilah,6.09E+16,4079,,
Gretal,4.37E+16,9697,,
Hyacinthe,6.14E+16,4081,,
Lyssa,6.46E+16,2278,,
Dulcinea,4.34E+16,9980,,
Tiffie,5.95E+16,9860,,
Winifred,5.20E+16,7992,,
Dari,4.55E+16,4920,,
Ekaterina,4.17E+16,1078,,
Jenda,4.66E+16,3735,,
Bobbi,4.12E+16,1732,,
Regina,5.38E+16,3363,,
Dawn,5.63E+16,7022,,
Paulita,6.88E+16,1672,,
Ottilie,6.73E+16,9002,,
Dorice,6.98E+16,9733,,
Jacquetta,6.92E+16,8492,,
Heddie,6.77E+16,4903,,
Addia,5.86E+16,5024,,
Dianemarie,6.61E+16,9355,,
Dale,5.92E+16,3713,,
Betta,6.17E+16,4586,,
Margette,5.08E+16,9332,,
Britni,6.82E+16,2476,,
Peri,4.83E+16,2455,,
Max,6.88E+16,4728,,
Olwen,4.17E+16,7805,,
Jsandye,6.02E+16,8988,,
Joy,5.22E+16,3986,,
Oralee,5.18E+16,1580,,
Melina,6.65E+16,10000,,
Brynna,6.40E+16,7342,,
Corly,5.40E+16,8756,,
Elyssa,4.70E+16,6286,,
Augustine,6.71E+16,9582,,
Viviene,4.39E+16,2453,,
Shirlee,4.05E+16,9947,,
Selma,6.73E+16,3990,,
Letizia,4.47E+16,7773,,
Lorie,4.45E+16,7342,,
Sheree,4.68E+16,5241,,
Sheelagh,6.01E+16,8596,,
Emilia,6.34E+16,4098,,
Hildegaard,4.73E+16,2567,,
Jaclyn,4.21E+16,7225,,
Pamella,4.99E+16,9508,,
Jinny,5.01E+16,6093,,
Dede,4.83E+16,7235,,
Suzette,6.84E+16,2532,,
Carmela,6.63E+16,7428,,
Shell,6.88E+16,2463,,
Kylynn,4.13E+16,9383,,
Rhoda,5.35E+16,9747,,
Aimil,4.49E+16,4087,,
Dari,4.33E+16,8396,,
Leontine,5.90E+16,5687,,
Silvana,4.10E+16,7366,,
Carlie,6.14E+16,2561,,
Joane,4.93E+16,7509,,
Corina,4.08E+16,1653,,
Delilah,4.56E+16,4687,,
Therine,5.74E+16,5190,,
Marleah,4.62E+16,8146,,
Christal,6.32E+16,6807,,
Rayna,4.91E+16,2165,,
Rubie,6.84E+16,4498,,
Delilah,4.25E+16,6552,,
Myrtice,5.38E+16,5824,,
Joeann,5.20E+16,4217,,
Ada,5.53E+16,8941,,
Clarice,5.50E+16,8937,,
Corina,5.41E+16,9792,,
Ellette,4.33E+16,9742,,
Corly,4.51E+16,2159,,
Ida,5.57E+16,9562,,
Cyb,5.61E+16,2899,,
Cyb,4.47E+16,1717,,
Rani,4.92E+16,7436,,
Nataline,6.21E+16,5557,,
Monika,6.74E+16,8561,,
Collen,4.04E+16,8843,,
Loree,5.49E+16,4295,,
Lorie,6.42E+16,5552,,
Vevay,5.30E+16,5321,,
Corly,6.86E+16,1950,,
Mamie,6.15E+16,7263,,
Adore,4.90E+16,9169,,
Blake,5.80E+16,4026,,
Sherrie,6.67E+16,9480,,
Starla,6.82E+16,7949,,
Beth,5.39E+16,7987,,
Cindelyn,6.35E+16,7758,,
Goldie,5.15E+16,9744,,
Shel,5.03E+16,8877,,
Edyth,4.80E+16,6616,,
Shaine,5.26E+16,6206,,
Annabela,5.62E+16,9349,,
Jemie,6.90E+16,5109,,
Flory,4.92E+16,2503,,
Kristina,5.69E+16,9595,,
Edyth,6.44E+16,5112,,
Catharine,6.36E+16,8043,,
Anestassia,5.60E+16,5252,,
Noelle,5.24E+16,8320,,
Fayre,6.58E+16,3771,,
Sissy,4.93E+16,3602,,
Norine,4.97E+16,7337,,
Theodora,6.54E+16,6298,,
Mahalia,4.86E+16,3657,,
Hollie,6.75E+16,1381,,
Dari,5.32E+16,5700,,
Gabi,6.78E+16,6443,,
Renae,6.22E+16,6822,,
Emma,4.34E+16,6278,,
Beverley,6.31E+16,6496,,
Genovera,6.20E+16,2525,,
Lita,6.06E+16,3706,,
Lorenza,6.19E+16,1510,,
Almeta,5.93E+16,4009,,
Gerrie,6.97E+16,3979,,
Cristabel,5.15E+16,9618,,
Jenilee,4.22E+16,3839,,
Jordan,6.81E+16,8376,,
Correy,5.22E+16,1362,,
Gabi,5.59E+16,8339,,
Valera,5.01E+16,8120,,
Ana,6.85E+16,9519,,
Lesly,5.52E+16,2866,,
Taffy,5.09E+16,5608,,
Madeleine,6.71E+16,9439,,
Giustina,5.87E+16,6616,,
Krystle,6.19E+16,1034,,
Hyacinthe,4.25E+16,5404,,
Gusella,4.53E+16,6419,,
Jobi,6.84E+16,8548,,
Silvana,6.27E+16,5084,,
Amii,4.43E+16,8210,,
Chickie,4.92E+16,6672,,
Raina,6.63E+16,6917,,
Karly,6.49E+16,3853,,
Winny,6.71E+16,9823,,
Rhea,5.47E+16,2595,,
Flo,4.91E+16,4288,,
Rayna,5.05E+16,1645,,
Wendi,4.88E+16,9108,,
Madelle,5.75E+16,4195,,
Jere,5.23E+16,3559,,
Corly,5.19E+16,4504,,
Jobi,6.25E+16,6507,,
Alexine,4.42E+16,2996,,
Ellette,6.44E+16,1682,,
Frances,5.03E+16,9476,,
Tressa,4.30E+16,3820,,
Sabina,6.37E+16,9691,,
Zia,6.38E+16,5343,,
Tami,5.53E+16,3635,,
Hannis,6.86E+16,9636,,
Katuscha,4.90E+16,8095,,
Carlie,4.92E+16,8348,,
Inga,4.72E+16,6562,,
Jacquetta,5.79E+16,9887,,
Regina,6.13E+16,9448,,
Madelle,6.10E+16,6473,,
Elora,6.76E+16,1568,,
Riannon,6.55E+16,1043,,
Fred,5.06E+16,4031,,
Marcy,5.86E+16,8914,,
Jobi,4.07E+16,8194,,
Alyda,6.92E+16,2363,,
Fidelia,6.23E+16,3622,,
Marita,6.63E+16,2043,,
Anica,4.21E+16,3729,,
Anica,6.42E+16,3961,,
Helsa,4.18E+16,1806,,
Lorne,6.89E+16,8702,,
Noelle,5.56E+16,4958,,
Zsa Zsa,5.62E+16,9070,,
Averyl,6.79E+16,2964,,
Correy,5.55E+16,4631,,
Corina,4.03E+16,7074,,
Rhoda,6.34E+16,6843,,
Rubie,4.64E+16,1979,,
Imojean,5.13E+16,1112,,
Charmaine,4.22E+16,3158,,
Imojean,5.02E+16,7339,,
Karina,6.42E+16,2735,,
Fayre,5.06E+16,9588,,
Valeda,4.69E+16,2767,,
Lenna,6.77E+16,1813,,
Ofilia,4.46E+16,6819,,
Vivia,5.98E+16,7230,,
Nikki,4.61E+16,1969,,
Konstance,6.79E+16,2456,,
Gusty,6.53E+16,9230,,
Phedra,6.09E+16,2030,,
Penelopa,5.34E+16,2642,,
Lorenza,6.12E+16,2764,,
Daune,6.62E+16,5306,,
Fidelia,4.53E+16,2881,,
Dania,6.35E+16,5089,,
Elise,5.35E+16,1014,,
Jessamyn,4.71E+16,1893,,
Catharine,4.70E+16,5249,,
Jessy,4.70E+16,7129,,
Julieta,5.77E+16,7479,,
Chandra,5.47E+16,2133,,
Lexine,4.06E+16,9532,,
Claresta,5.60E+16,2578,,
Nanete,5.39E+16,4510,,
Myrtice,5.51E+16,9850,,
Libbie,4.63E+16,2817,,
Bernardine,6.13E+16,7982,,
Regina,7.00E+16,7039,,
Gilligan,5.43E+16,4542,,
Chandra,4.63E+16,8601,,
Talya,4.81E+16,6560,,
Felice,6.70E+16,1793,,
Kristina,5.76E+16,4953,,
Nadine,5.83E+16,5683,,
Fanchon,5.28E+16,6576,,
Angela,5.20E+16,1919,,
Chandra,6.48E+16,6204,,
Catharine,6.02E+16,5680,,
Hyacinthe,4.22E+16,1090,,
Averyl,6.40E+16,9717,,
Orsola,4.00E+16,3689,,
Randa,6.82E+16,1596,,
Maridel,4.08E+16,7734,,
Gretal,4.79E+16,5287,,
Ada,4.76E+16,7241,,
Kristina,5.76E+16,1136,,
Peri,5.80E+16,4417,,
Trixi,5.73E+16,5380,,
Frank,4.55E+16,9476,,
Kristan,4.24E+16,6136,,
Vevay,4.82E+16,1536,,
Natka,6.36E+16,5502,,
Charmaine,5.30E+16,4371,,
Marsiella,5.01E+16,8712,,
Verla,6.56E+16,6183,,
Danny,4.77E+16,4008,,
Marleah,5.27E+16,7776,,
Joleen,4.36E+16,2490,,
Zaria,6.94E+16,1710,,
Lucille,4.30E+16,2654,,
Daune,5.56E+16,6487,,
Ninnetta,6.10E+16,2586,,
Susette,6.98E+16,5576,,
Suzette,6.11E+16,9884,,
Wanda,6.04E+16,6716,,
Lynnea,6.57E+16,2526,,
Oralee,6.75E+16,7570,,
Kimmy,4.45E+16,7089,,
Agnese,4.08E+16,4111,,
Barbara,4.50E+16,1206,,
Minda,5.63E+16,1086,,
Aurelie,6.82E+16,1155,,
Sam,5.83E+16,8126,,
Chandra,4.17E+16,3180,,
Glynnis,4.84E+16,4093,,
Tera,4.04E+16,2255,,
Gui,6.57E+16,8598,,
Carree,5.54E+16,7943,,
Charlena,6.96E+16,1694,,
Lucy,6.79E+16,7556,,
Henriette,6.66E+16,4652,,
Tori,4.38E+16,6211,,
Cordi,4.47E+16,5514,,
Yetty,6.18E+16,8649,,
Silvana,5.32E+16,8278,,
Doralynne,6.06E+16,8529,,
Fred,6.72E+16,4096,,
Marleah,5.77E+16,2886,,
Frieda,5.98E+16,5150,,
Verla,4.58E+16,8077,,
Zaria,6.80E+16,1049,,
Jere,6.58E+16,2554,,
Ronna,6.03E+16,4591,,
Jean,4.15E+16,5206,,
Bettine,4.49E+16,4643,,
Chandra,5.10E+16,8351,,
Blake,6.25E+16,8551,,
Gloria,4.50E+16,9740,,
Raina,5.26E+16,8573,,
Brooks,6.85E+16,7185,,
Merrie,6.67E+16,3773,,
Bobbi,5.46E+16,4879,,
Norine,4.56E+16,6783,,
Desirae,5.07E+16,2336,,
Mamie,5.63E+16,5620,,
Coral,6.89E+16,8109,,
Arlina,5.14E+16,7841,,
Molli,5.03E+16,3802,,
Fayre,6.56E+16,3698,,
Correy,4.94E+16,8119,,
Oralee,6.94E+16,2698,,
Shaylyn,4.89E+16,5838,,
Joane,5.74E+16,2107,,
Doro,5.74E+16,1140,,
Sharai,4.67E+16,5252,,
Leontine,4.43E+16,8966,,
Lizzie,6.99E+16,8924,,
Paola,5.90E+16,5113,,
Aigneis,5.54E+16,8597,,
Ethel,5.33E+16,7743,,
Sharai,6.74E+16,9823,,
Orelia,5.51E+16,8727,,
Lizzie,5.42E+16,2429,,
Ronna,4.48E+16,5919,,
Aigneis,4.79E+16,6015,,
Ofilia,5.46E+16,8953,,
Bettine,5.18E+16,9931,,
Tressa,5.52E+16,1796,,
Mallory,6.01E+16,4424,,
Vita,4.88E+16,6135,,
Orelia,5.83E+16,9317,,
Daphne,5.67E+16,3366,,
Sadie,6.77E+16,6110,,
Joane,5.25E+16,9202,,
Dotty,5.74E+16,3653,,
Romona,5.32E+16,1935,,
Suzette,6.61E+16,4620,,
Lacie,4.54E+16,2464,,
Maisey,4.53E+16,6237,,
Augustine,5.25E+16,8351,,
Corly,4.48E+16,1617,,
Chandra,4.45E+16,2940,,
Dennie,6.12E+16,3050,,
Lynde,6.40E+16,4424,,
Dania,6.26E+16,9147,,
Janis,6.40E+16,6274,,
Anestassia,6.98E+16,6719,,
Roslyn,6.79E+16,9676,,
Clementine,6.51E+16,6751,,
Dari,6.98E+16,1364,,
Arabel,6.50E+16,8197,,
Robbi,4.48E+16,9131,,
Devina,6.68E+16,3874,,
Brandise,6.57E+16,5515,,
Patricia,6.25E+16,7011,,
Rivalee,6.75E+16,5647,,
Robinia,5.27E+16,5509,,
Keelia,5.15E+16,9788,,
Nita,6.82E+16,9019,,
Edith,4.85E+16,5385,,
Kara-Lynn,5.55E+16,4355,,
Shannah,4.74E+16,6754,,
Sam,5.61E+16,1667,,
Fina,5.58E+16,1997,,
Bernardine,5.50E+16,2042,,
Hayley,6.88E+16,4649,,
Luci,5.49E+16,8840,,
Mireielle,6.05E+16,8006,,
Britni,5.82E+16,6286,,
Di,4.85E+16,3354,,
Lorenza,4.30E+16,7148,,
Nariko,6.11E+16,7485,,
Winny,6.64E+16,9875,,
Jenda,4.04E+16,8946,,
Charmaine,6.38E+16,1320,,
Jacquetta,5.87E+16,3193,,
Jsandye,4.50E+16,3592,,
Joceline,5.70E+16,7996,,
Cissiee,5.22E+16,7294,,
Livvyy,6.08E+16,2467,,
Ethel,4.27E+16,7980,,
Luci,6.24E+16,4916,,
Phylis,4.44E+16,3251,,
Ada,5.03E+16,6280,,
Beth,4.11E+16,4705,,
Frank,4.43E+16,8501,,
Arlina,4.47E+16,5563,,
Nikki,7.00E+16,2204,,
Deane,4.36E+16,2384,,
Dale,4.60E+16,9028,,
Sindee,4.70E+16,3079,,
Nerta,6.80E+16,6708,,
Orsola,5.28E+16,4906,,
Andeee,4.42E+16,2755,,
Deloria,6.60E+16,7010,,
